,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
117,117,6.0,0.5877474,"[(0, 0.20215626), (1, 0.18415806), (6, 0.5877474)]"
118,118,0.0,0.44246268,"[(0, 0.44246268), (6, 0.3007952), (7, 0.16846552), (8, 0.06326806)]"
119,119,3.0,0.43376195,"[(0, 0.1529998), (3, 0.43376195), (7, 0.11151332), (9, 0.28457445)]"
120,120,9.0,0.3118697,"[(0, 0.25535697), (3, 0.25950688), (4, 0.09315266), (6, 0.06087732), (9, 0.3118697)]"
121,121,5.0,0.20708196,"[(0, 0.06848846), (2, 0.043026313), (3, 0.056699477), (4, 0.11876688), (5, 0.20708196), (6, 0.1342017), (7, 0.16992857), (9, 0.19639915)]"
122,122,6.0,0.26405665,"[(0, 0.21167672), (4, 0.08169252), (6, 0.26405665), (7, 0.16648066), (8, 0.07444024), (9, 0.1842537)]"
123,123,6.0,0.34578654,"[(0, 0.31575516), (1, 0.19249918), (3, 0.11986534), (6, 0.34578654)]"
124,124,9.0,0.7098338,"[(6, 0.1537028), (8, 0.101448275), (9, 0.7098338)]"
125,125,8.0,0.31949165,"[(0, 0.16744135), (3, 0.17753084), (4, 0.095082276), (6, 0.10521067), (8, 0.31949165), (9, 0.11923877)]"
126,126,7.0,0.4016723,"[(3, 0.12208595), (4, 0.1755681), (6, 0.27666616), (7, 0.4016723)]"
127,127,0.0,0.24923556,"[(0, 0.24923556), (2, 0.1238362), (3, 0.08894435), (6, 0.18672355), (7, 0.11554162), (8, 0.22280881)]"
128,128,6.0,0.6587553,"[(3, 0.12351429), (5, 0.046701062), (6, 0.6587553), (8, 0.15283796)]"
129,129,2.0,0.22345285,"[(0, 0.041660126), (2, 0.22345285), (3, 0.066708885), (4, 0.040770117), (6, 0.21261437), (7, 0.12876284), (8, 0.22073245), (9, 0.06273345)]"
130,130,6.0,0.67192006,"[(2, 0.041304044), (3, 0.13812591), (6, 0.67192006), (7, 0.12989484)]"
131,131,6.0,0.6695385,"[(3, 0.07193093), (6, 0.6695385), (7, 0.21408808), (9, 0.03561489)]"
132,132,9.0,0.35303876,"[(0, 0.081919), (1, 0.052711435), (2, 0.16919082), (3, 0.056407694), (4, 0.05199719), (6, 0.1399316), (8, 0.09095568), (9, 0.35303876)]"
133,133,0.0,0.3276563,"[(0, 0.3276563), (2, 0.25323564), (3, 0.17442334), (5, 0.13969626), (9, 0.0947792)]"
134,134,9.0,0.73558176,"[(0, 0.054995358), (3, 0.19419919), (9, 0.73558176)]"
