sec,t1 success,t2 success,N t1 wp,N t1 accordance,line A diff,line B diff,N t2 wp,N t2 accordance,N t2 O(1)/U(0),TOTAL A diff,TOTAL B diff,diff line,DIFF total
20191110,0,1,79.23076923,1,4.070112892,7.750820244,57.69230769,1,1,6.17384096,4.228785634,-3.680707353,1.945055326
20191110,1,0,64.61538462,1,-6.191336344,-4.568762212,55.38461538,1,0,-12.8655343,-11.36589394,-1.622574132,-1.499640361
20191110,0,0,60,1,3.467621076,5.388385196,66.15384615,1,0,-3.183042117,1.664267426,-1.920764121,-4.847309542
20191110,0,1,50.76923077,0,-0.073018267,-0.482277972,66.92307692,1,0,-0.618274174,3.844231987,0.409259705,-4.46250616
20191110,1,0,65.38461538,1,6.395148474,8.909757377,57.69230769,1,0,-10.60802751,-8.120418174,-2.514608903,-2.487609339
20191111,1,0,67.69230769,1,-4.280333927,-2.108812651,53.07692308,1,0,3.32076817,2.980236092,-2.171521276,0.340532078
20191111,0,1,57.69230769,1,9.412082394,10.83106136,58.46153846,0,0,-4.911992825,-2.373226128,-1.418978967,-2.538766697
20191111,0,0,63.84615385,1,-0.782436934,2.127989913,64.61538462,1,1,-16.24791398,-21.00469448,-2.910426848,4.756780495
20191111,1,1,64.61538462,1,-6.035842812,-3.929487999,59.23076923,1,1,-0.890953379,-3.749334382,-2.106354813,2.858381003
20191111,0,1,69.23076923,1,3.02610574,5.006077426,63.84615385,1,0,-2.813784039,0.053918372,-1.979971687,-2.86770241
20191111,1,0,53.84615385,0,5.507587555,7.211973722,63.07692308,1,0,5.032377469,7.650029772,-1.704386167,-2.617652302
20191112,1,0,73.84615385,1,-1.150208638,1.420064055,50.76923077,1,0,4.857107835,4.533630481,-2.570272693,0.323477354
20191112,1,0,70,1,-0.165467507,1.992633473,55.38461538,1,0,3.439346567,3.414750937,-2.15810098,0.02459563
20191112,0,1,79.23076923,1,-3.433341123,0.418799541,54.61538462,1,1,2.363202368,1.04247531,-3.852140665,1.320727058
20191112,0,0,51.53846154,0,-0.156352827,0.093670674,52.30769231,0,1,-5.64781843,-7.198602644,-0.250023501,1.550784215
20191112,0,0,73.84615385,1,2.389572143,4.617349994,60.76923077,1,0,-0.84839318,2.15539961,-2.227777851,-3.00379279
20191112,1,1,82.30769231,1,-6.258489966,-2.777167414,62.30769231,1,0,7.637280044,11.19164972,-3.481322553,-3.554369673
20191112,0,1,60.76923077,1,5.044838736,6.574934237,53.84615385,0,0,4.781205166,5.972671549,-1.530095501,-1.191466383
20191112,1,1,54.61538462,1,-0.059279733,0.314790827,62.30769231,1,1,9.058100093,5.240118672,-0.37407056,3.817981421
20191113,0,0,82.30769231,1,1.13356596,4.577100369,63.07692308,1,0,-10.2533606,-6.884623142,-3.443534409,-3.368737455
20191113,0,0,72.30769231,1,-4.820628363,-2.120994608,54.61538462,1,0,0.757651203,0.626656458,-2.699633756,0.130994745
20191113,1,1,74.61538462,1,3.410871975,5.990513902,56.15384615,1,0,-1.832381174,-0.528201161,-2.579641927,-1.304180014
20191113,0,0,67.69230769,1,-3.534614984,-0.455339691,55.38461538,1,0,10.81562352,12.94221062,-3.079275293,-2.126587104
20191113,0,1,54.61538462,0,2.129216973,2.337009724,54.61538462,1,0,-12.29978917,-10.82347016,-0.207792751,-1.476319006
20191113,1,1,70,1,-6.303850556,-4.491658805,63.07692308,1,1,-4.190559401,-7.976595124,-1.812191751,3.786035723
20191113,1,0,63.07692308,1,-10.20856681,-8.374254005,55.38461538,1,0,-0.487518023,1.519345425,-1.834312801,-2.006863447
20191114,0,0,79.23076923,1,1.653571136,4.798803887,56.92307692,1,0,-7.000103304,-5.188462315,-3.145232751,-1.811640989
20191114,0,1,50.76923077,0,-4.384218587,-3.660691263,53.84615385,1,0,3.250569676,5.087184339,-0.723527323,-1.836614663
20191114,0,1,72.30769231,1,-1.377506065,2.03564112,59.23076923,1,0,5.487887714,6.96917055,-3.413147185,-1.481282836
20191114,0,0,73.07692308,1,-0.531574048,1.245032071,51.53846154,0,1,-2.860426242,-4.278371357,-1.776606119,1.417945115
20191114,0,0,63.84615385,1,-3.96937739,-1.938009819,53.84615385,1,0,-17.16988561,-15.53943773,-2.031367571,-1.630447878
20191114,1,1,70.76923077,1,0.448904745,2.459674402,53.07692308,0,1,0.00071768,-2.328552896,-2.010769657,2.329270576
20191115,0,1,66.15384615,1,0.563020556,2.48932809,56.92307692,0,0,5.697759967,7.226702653,-1.926307533,-1.528942686
20191115,1,1,66.15384615,1,-6.794907694,-4.678350158,57.69230769,1,0,0.74543565,2.306833667,-2.116557536,-1.561398017
20191115,0,1,76.92307692,1,1.925081694,4.368286155,60,1,0,1.574244359,3.698698357,-2.44320446,-2.124453998
20191115,1,1,81.53846154,1,-3.626467499,-0.423829337,52.30769231,1,0,-5.120730347,-5.215944234,-3.202638162,0.095213888
20191115,0,0,63.84615385,1,-2.334678961,-0.138792492,64.61538462,1,0,2.367181465,4.553387665,-2.195886469,-2.186206201
20191115,0,1,73.07692308,1,-0.922079944,1.270971962,56.92307692,0,1,-10.27498633,-12.6858261,-2.193051905,2.410839768
20191115,0,1,66.92307692,1,1.21130577,3.422594087,56.92307692,1,0,-6.736855323,-3.646487599,-2.211288317,-3.090367723
20191116,1,0,51.53846154,1,-0.488419321,0.639134333,68.46153846,1,0,-14.1804565,-10.80991662,-1.127553653,-3.370539884
20191116,1,1,74.61538462,1,5.263217123,7.623689427,52.30769231,1,1,-8.197273669,-8.61786478,-2.360472304,0.420591112
20191116,1,1,81.53846154,1,-2.579712838,0.817015766,52.30769231,1,0,-9.120160512,-9.915380202,-3.396728604,0.79521969
20191116,1,0,69.23076923,1,-10.45515766,-7.833155464,54.61538462,0,1,5.464991863,5.032639791,-2.6220022,0.432352072
20191116,0,1,57.69230769,1,-6.837180451,-6.909817621,51.53846154,0,0,3.250921975,3.845022654,0.072637169,-0.59410068
20191116,1,1,52.30769231,0,3.225923108,3.797232406,53.84615385,1,0,-5.964758484,-5.173641889,-0.571309299,-0.791116595
20191116,0,1,78.46153846,1,-6.740862455,-2.46966856,53.07692308,1,1,-1.688925087,-3.987431948,-4.271193895,2.298506862
20191116,1,0,52.30769231,0,-1.693054653,-2.022986535,51.53846154,0,1,-13.05496601,-13.59403304,0.329931881,0.539067025
20191117,0,1,63.07692308,1,-6.861027686,-4.938622843,53.07692308,0,0,0.877883489,1.775404847,-1.922404843,-0.897521358
20191117,1,0,64.61538462,1,3.166995133,4.860172445,60,1,0,5.202374109,7.363765866,-1.693177312,-2.161391757
20191117,0,1,61.53846154,1,-0.62955171,1.518075102,53.84615385,0,0,2.836455743,4.132354671,-2.147626812,-1.295898927
20191117,1,1,81.53846154,1,4.895346816,7.898175814,50.76923077,0,1,2.135540887,2.643370869,-3.002828998,-0.507829982
20191117,0,0,74.61538462,1,-0.393434425,1.740859582,63.84615385,1,0,-1.804432137,1.333549355,-2.134294006,-3.137981492
20191117,1,0,79.23076923,1,-3.21265523,-0.433933796,52.30769231,1,1,-6.253486827,-7.131906817,-2.778721434,0.87841999
20191118,1,0,57.69230769,1,2.431673126,3.759833673,61.53846154,1,1,-7.094218703,-10.06150179,-1.328160547,2.967283084
20191118,0,1,75.38461538,1,0.488609442,3.543765011,50.76923077,0,0,3.078500079,2.265775461,-3.055155569,0.812724618
20191118,0,1,77.69230769,1,0.710251564,3.958616661,66.15384615,1,0,-0.762293018,3.143199485,-3.248365097,-3.905492502
20191118,1,1,73.84615385,1,-4.119807909,-1.01895925,53.07692308,0,1,-4.148813967,-4.404890764,-3.100848659,0.256076797
20191118,1,0,66.92307692,1,-8.949451301,-6.648169738,50.76923077,0,1,0.425698481,-0.311321228,-2.301281564,0.737019708
20191118,1,0,71.53846154,1,1.874636005,4.294454657,55.38461538,0,0,1.964601842,2.613790132,-2.419818652,-0.649188291
20191118,1,1,74.61538462,1,-2.513366541,0.320416032,52.30769231,0,1,-10.89928279,-12.23530042,-2.833782572,1.336017635
20191118,0,1,51.53846154,0,4.153825425,4.163971027,53.84615385,1,0,-7.043110813,-6.06094783,-0.010145602,-0.982162982
20191119,0,1,69.23076923,1,-3.153753697,-1.395102911,53.84615385,1,0,-4.056474254,-3.133764232,-1.758650785,-0.922710021
20191119,0,0,76.15384615,1,1.37403942,4.577443289,65.38461538,1,0,7.098790176,10.40252841,-3.203403869,-3.303738231
20191119,0,1,68.46153846,1,-2.389492294,0.473937535,64.61538462,1,0,-14.58061653,-10.59023768,-2.863429829,-3.99037885
20191120,1,1,56.92307692,1,-0.04762698,-0.296869584,51.53846154,1,0,1.994697664,2.62297077,0.249242604,-0.628273107
20191120,1,1,71.53846154,1,-10.54851819,-7.869015453,61.53846154,1,0,1.809575762,4.60042453,-2.679502734,-2.790848768
20191120,1,0,53.07692308,1,-7.406675884,-7.294037551,56.92307692,0,0,-10.61140421,-8.914229567,-0.112638333,-1.697174642
20191120,1,0,80,1,-0.784352367,2.384747004,56.92307692,1,0,4.752472261,6.360681743,-3.169099371,-1.608209482
20191120,1,0,76.15384615,1,2.535257937,5.512546909,63.84615385,1,0,-6.262762353,-4.023690696,-2.977288972,-2.239071657
20191120,0,1,50.76923077,0,-5.263479646,-5.328607906,63.84615385,1,0,-4.069944646,-0.663615023,0.06512826,-3.406329623
20191120,1,0,53.84615385,1,0.776173586,1.599412878,63.07692308,1,1,-0.587765419,-3.685096116,-0.823239292,3.097330697
20191120,1,1,83.07692308,1,-4.440489279,-1.318355745,55.38461538,1,1,13.42102188,11.81772213,-3.122133534,1.603299748
20191120,0,1,81.53846154,1,3.477730323,6.402856524,61.53846154,1,1,11.01928197,8.366207348,-2.925126201,2.653074626
20191120,1,0,56.15384615,1,0.387046626,1.735349043,50.76923077,0,1,2.676428569,2.270766287,-1.348302417,0.405662282
20191120,0,1,53.84615385,1,-1.499709876,-0.597155757,52.30769231,1,1,-13.29647035,-14.84464818,-0.902554119,1.548177826
20191121,0,1,68.46153846,1,3.554361984,5.756964694,57.69230769,1,1,-8.763719085,-9.257289159,-2.20260271,0.493570074
20191121,0,0,72.30769231,1,-1.669314465,0.319277564,61.53846154,1,0,-13.17527816,-12.03693707,-1.988592029,-1.138341084
20191122,1,0,58.46153846,1,-0.704381233,0.458210931,55.38461538,1,0,2.767299471,3.87311513,-1.162592164,-1.10581566
20191122,1,0,63.07692308,1,-8.206703552,-6.209311654,53.84615385,1,0,-10.42591831,-10.8764546,-1.997391899,0.450536292
20191122,0,1,79.23076923,1,5.949576344,9.300666604,51.53846154,0,1,9.624747699,9.789708897,-3.35109026,-0.164961198
20191122,1,1,80,1,1.340516879,4.046329175,51.53846154,0,1,0.902417434,1.222335809,-2.705812296,-0.319918374
20191122,1,0,65.38461538,1,-2.230640288,0.335671493,53.07692308,1,1,4.718188365,4.285937995,-2.566311781,0.43225037
20191122,0,1,59.23076923,1,0.158855094,1.702265471,62.30769231,1,0,8.0348168,11.11591313,-1.543410377,-3.081096333
20191122,0,1,59.23076923,1,0.483817834,2.123748371,50.76923077,0,1,8.765336384,8.339428055,-1.639930537,0.42590833
20191122,0,0,66.15384615,1,-10.61526993,-8.069660392,56.92307692,1,0,-11.38469749,-10.51038202,-2.545609537,-0.874315473
20191123,1,0,78.46153846,1,2.241608578,5.759826414,53.07692308,0,1,-6.604728741,-7.308469466,-3.518217837,0.703740725
20191123,0,0,56.92307692,1,1.878081224,2.301297014,63.84615385,1,1,0.325040114,-3.675381981,-0.423215791,4.000422095
20191123,0,0,56.15384615,1,3.756030653,4.19717376,55.38461538,1,1,1.445046266,-0.713718676,-0.441143107,2.158764942
20191123,0,0,75.38461538,1,-2.199804177,1.626339731,51.53846154,0,0,-5.541951776,-3.713920276,-3.826143908,-1.8280315
20191123,0,1,79.23076923,1,-3.516063661,-0.04347609,51.53846154,0,1,14.263813,13.43022239,-3.472587571,0.833590615
20191123,1,0,68.46153846,1,1.285333024,4.058815798,50.76923077,0,1,4.6743731,5.135675104,-2.773482774,-0.461302004
20191123,0,1,66.15384615,1,-1.824426352,-0.197170779,63.07692308,1,0,-9.032672902,-7.553372042,-1.627255573,-1.47930086
20191124,1,0,69.23076923,1,3.326664778,5.294215452,52.30769231,1,0,-10.94160166,-10.5691117,-1.967550674,-0.37248996
20191124,0,1,70,1,-5.473476575,-2.545346136,77.69230769,1,0,6.841442972,12.78595719,-2.928130439,-5.944514214
20191124,1,1,76.15384615,1,1.282666255,3.478383627,59.23076923,1,1,8.297641614,6.491450086,-2.195717373,1.806191527
20191124,0,0,56.92307692,1,1.862793765,3.262826143,56.92307692,1,0,-13.11840773,-10.7518126,-1.400032378,-2.366595136
20191125,0,1,76.92307692,1,-2.191868826,0.809184993,52.30769231,0,1,-1.394337553,-2.855690865,-3.001053819,1.461353312
20191125,0,1,72.30769231,1,-8.700938878,-5.767159931,59.23076923,1,0,-7.913813781,-6.506679904,-2.933778947,-1.407133877
20191125,1,1,55.38461538,1,-3.6405881,-2.906020845,55.38461538,1,0,1.689411188,3.355282516,-0.734567255,-1.665871328
20191125,0,1,77.69230769,1,-2.814991083,0.850704057,56.92307692,1,0,9.589665007,10.60892475,-3.66569514,-1.019259739
20191125,1,1,77.69230769,1,-2.729008896,0.762618613,53.84615385,1,1,-14.72905301,-15.41578396,-3.491627509,0.686730946
20191125,1,0,58.46153846,1,3.769787891,4.468076541,63.07692308,1,0,0.834322168,3.709947742,-0.69828865,-2.875625574
20191125,1,1,53.84615385,1,5.650011227,6.247847336,56.15384615,1,0,12.55748552,13.71038981,-0.597836109,-1.152904283
20191125,1,0,70,1,-5.062595822,-2.624484268,58.46153846,1,1,7.538181143,5.007001401,-2.438111554,2.531179741
20191125,1,0,57.69230769,1,0.269322892,0.857686747,54.61538462,1,1,-2.77441454,-3.466232257,-0.588363855,0.691817718
20191125,0,1,56.92307692,1,1.423625447,2.046611785,60,1,0,3.139120979,5.859413531,-0.622986337,-2.720292552
20191126,0,1,64.61538462,1,-6.107116201,-4.489309381,50.76923077,0,0,-5.75158425,-5.584626052,-1.61780682,-0.166958198
20191126,1,1,82.30769231,1,1.329954909,4.192406231,58.46153846,1,0,-7.712913478,-6.160975699,-2.862451322,-1.551937779
20191127,0,0,76.15384615,1,5.709173789,8.102294879,59.23076923,1,1,-15.89691109,-17.88927786,-2.393121091,1.992366772
20191127,1,0,68.46153846,1,-2.182455768,0.694993124,54.61538462,1,0,-6.497834939,-4.438959865,-2.877448892,-2.058875074
20191127,0,1,67.69230769,1,3.591343935,5.670502839,60.76923077,1,1,-2.558231051,-5.224887469,-2.079158904,2.666656417
20191127,1,1,53.07692308,1,-4.860791948,-4.849762451,58.46153846,1,0,0.480782502,2.991282321,-0.011029497,-2.510499819
20191127,1,0,56.92307692,1,-1.804103006,-0.984001062,58.46153846,1,0,10.54875185,11.70082171,-0.820101943,-1.152069861
20191127,0,1,61.53846154,1,1.388833782,2.717541799,63.84615385,1,0,-10.23093523,-7.152176389,-1.328708017,-3.078758844
20191127,1,1,76.15384615,1,0.953617072,4.082720866,51.53846154,0,1,12.09379195,11.15629815,-3.129103794,0.937493806
20191127,1,0,60,1,4.214340945,6.41900506,50.76923077,1,1,-5.17319401,-6.186777894,-2.204664115,1.013583884
20191127,0,1,80,1,-1.068870396,2.621808323,77.69230769,1,0,2.655104527,7.247365257,-3.690678719,-4.59226073
20191127,0,0,56.15384615,1,1.752268661,2.754629266,51.53846154,0,1,-7.072281133,-7.485433322,-1.002360605,0.413152189
20191127,0,1,75.38461538,1,-1.13517949,2.028491805,52.30769231,1,1,-21.66165809,-21.63402256,-3.163671294,-0.027635525
20191127,0,1,56.92307692,1,-7.738843615,-6.439307856,55.38461538,1,1,2.98963239,1.250773429,-1.299535759,1.738858962
20191127,0,0,56.92307692,1,-1.474386294,-0.163287006,56.15384615,1,1,5.958676184,4.634361305,-1.311099288,1.324314879
20191129,0,0,65.38461538,1,3.294051695,5.003215205,63.84615385,1,1,-4.893956529,-7.824548157,-1.70916351,2.930591627
20191129,1,0,58.46153846,1,1.854686286,3.834996414,51.53846154,0,1,3.517074864,3.823343079,-1.980310128,-0.306268215
20191129,1,0,70.76923077,1,2.964464982,4.800169501,50.76923077,0,0,8.593596729,9.079065132,-1.83570452,-0.485468403
20191129,0,1,76.92307692,1,-2.783533801,1.414429953,55.38461538,1,0,8.162401659,10.21728165,-4.197963754,-2.054879994
20191129,1,0,78.46153846,1,2.991132535,5.615761989,54.61538462,1,1,-0.269427048,-1.860203561,-2.624629454,1.590776512
20191129,1,1,53.84615385,1,1.126483826,1.068392003,50.76923077,0,0,15.22678428,14.81334083,0.058091823,0.413443447
20191129,0,0,59.23076923,1,0.327732809,0.556431525,50.76923077,0,0,4.957559494,4.130742467,-0.228698716,0.826817027
20191129,0,0,83.07692308,1,0.280798439,3.614198456,54.61538462,0,1,-3.979873265,-4.734862397,-3.333400017,0.754989132
