,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
3812,3812,1.0,0.7767158,"[(0, 0.032462128), (1, 0.7767158), (2, 0.1592851), (3, 0.031537004)]"
3813,3813,3.0,0.52596396,"[(0, 0.03155839), (1, 0.41066748), (2, 0.03181022), (3, 0.52596396)]"
3814,3814,1.0,0.5651615,"[(0, 0.05000289), (1, 0.5651615), (2, 0.05000198), (3, 0.33483356)]"
3815,3815,0.0,0.42044926,"[(0, 0.42044926), (1, 0.19608468), (2, 0.041744456), (3, 0.34172165)]"
3816,3816,1.0,0.59239334,"[(0, 0.015948279), (1, 0.59239334), (2, 0.016168844), (3, 0.37548953)]"
3817,3817,1.0,0.93648505,"[(0, 0.021222081), (1, 0.93648505), (2, 0.021157026), (3, 0.021135803)]"
3818,3818,1.0,0.9313253,"[(0, 0.023109963), (1, 0.9313254), (2, 0.022730203), (3, 0.022834487)]"
3819,3819,2.0,0.60108614,"[(0, 0.037408378), (1, 0.039996408), (2, 0.60108614), (3, 0.3215091)]"
3820,3820,1.0,0.5360513,"[(0, 0.022838945), (1, 0.5360513), (2, 0.022737173), (3, 0.4183726)]"
3821,3821,1.0,0.6299834,"[(0, 0.23734929), (1, 0.6299834), (2, 0.01837379), (3, 0.11429346)]"
3822,3822,2.0,0.3468622,"[(0, 0.31462738), (1, 0.033242974), (2, 0.3468622), (3, 0.30526745)]"
3823,3823,1.0,0.7524,"[(0, 0.08507599), (1, 0.7524), (2, 0.016730662), (3, 0.1457934)]"
3824,3824,1.0,0.93020475,"[(0, 0.023153128), (1, 0.9302048), (2, 0.023132933), (3, 0.023509085)]"
3825,3825,1.0,0.93705,"[(0, 0.021009043), (1, 0.93705004), (2, 0.02110602), (3, 0.020834895)]"
3826,3826,0.0,0.9054636,"[(0, 0.9054636), (1, 0.031612374), (2, 0.031552583), (3, 0.031371526)]"
3827,3827,2.0,0.6457868,"[(0, 0.043187242), (1, 0.042549822), (2, 0.6457868), (3, 0.2684761)]"
3828,3828,1.0,0.61852485,"[(0, 0.018436184), (1, 0.61852485), (2, 0.019820606), (3, 0.34321833)]"
3829,3829,0.0,0.6789717,"[(0, 0.6789717), (1, 0.062916264), (2, 0.06462861), (3, 0.19348346)]"
3830,3830,2.0,0.7813078,"[(0, 0.15324283), (1, 0.03416927), (2, 0.7813078), (3, 0.031280134)]"
3831,3831,0.0,0.25,"[(0, 0.25), (1, 0.25), (2, 0.25), (3, 0.25)]"
3832,3832,0.0,0.87436265,"[(0, 0.8743627), (1, 0.0416676), (2, 0.04195487), (3, 0.042014793)]"
3833,3833,1.0,0.78783435,"[(0, 0.14896479), (1, 0.78783435), (2, 0.03125036), (3, 0.0319505)]"
3834,3834,0.0,0.5065595,"[(0, 0.5065595), (1, 0.026363308), (2, 0.026283279), (3, 0.440794)]"
3835,3835,1.0,0.5958835,"[(0, 0.031446457), (1, 0.5958835), (2, 0.1361991), (3, 0.23647091)]"
