,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
4906,4906,3.0,0.6665722,"[(0, 0.023813136), (1, 0.023881933), (2, 0.02430807), (3, 0.6665722), (4, 0.023810416), (5, 0.23761426)]"
4907,4907,3.0,0.52597344,"[(0, 0.02781295), (1, 0.36285314), (2, 0.027791107), (3, 0.52597344), (4, 0.027791558), (5, 0.027777791)]"
4908,4908,5.0,0.40284258,"[(0, 0.13859087), (1, 0.018518625), (2, 0.01861458), (3, 0.17926255), (4, 0.24217078), (5, 0.40284258)]"
4909,4909,1.0,0.50874513,"[(0, 0.19131266), (1, 0.50874513), (2, 0.22805737), (3, 0.023946922), (4, 0.023873752), (5, 0.024064204)]"
4910,4910,0.0,0.6053974,"[(0, 0.6053974), (1, 0.033361863), (2, 0.033348963), (3, 0.034632664), (4, 0.259783), (5, 0.033476092)]"
4911,4911,5.0,0.5656961,"[(0, 0.018518548), (1, 0.018806139), (2, 0.01856672), (3, 0.22731031), (4, 0.15110214), (5, 0.5656961)]"
4912,4912,4.0,0.79152626,"[(0, 0.041681215), (1, 0.04166668), (2, 0.041746758), (3, 0.04166669), (4, 0.79152626), (5, 0.04171238)]"
4913,4913,2.0,0.4488321,"[(0, 0.027913509), (1, 0.22162066), (2, 0.44883212), (3, 0.027997984), (4, 0.24555904), (5, 0.028076725)]"
4914,4914,2.0,0.48413825,"[(0, 0.027800312), (1, 0.2737898), (2, 0.48413825), (3, 0.15860291), (4, 0.027890936), (5, 0.027777819)]"
4915,4915,4.0,0.5828179,"[(0, 0.08333334), (1, 0.08362028), (2, 0.08333335), (3, 0.08336961), (4, 0.5828179), (5, 0.08352555)]"
4916,4916,1.0,0.63306534,"[(0, 0.2333105), (1, 0.63306534), (2, 0.033363808), (3, 0.03339734), (4, 0.033428237), (5, 0.033434756)]"
4917,4917,0.0,0.693982,"[(0, 0.693982), (1, 0.027988672), (2, 0.027854308), (3, 0.028044544), (4, 0.19428915), (5, 0.02784133)]"
4918,4918,5.0,0.4148259,"[(0, 0.027777852), (1, 0.24273074), (2, 0.25890246), (3, 0.027926696), (4, 0.027836367), (5, 0.4148259)]"
4919,4919,4.0,0.30482596,"[(0, 0.16600579), (1, 0.1879485), (2, 0.016666736), (3, 0.1310398), (4, 0.30482596), (5, 0.19351324)]"
4920,4920,1.0,0.75912094,"[(0, 0.1569942), (1, 0.75912094), (2, 0.02109227), (3, 0.02092989), (4, 0.02087478), (5, 0.020987896)]"
4921,4921,1.0,0.3888633,"[(0, 0.055555668), (1, 0.3888633), (2, 0.055555675), (3, 0.38853124), (4, 0.055555712), (5, 0.055938434)]"
4922,4922,3.0,0.515535,"[(0, 0.033484332), (1, 0.35074523), (2, 0.033377253), (3, 0.515535), (4, 0.03333337), (5, 0.033524778)]"
4923,4923,4.0,0.527283,"[(0, 0.027787762), (1, 0.02781397), (2, 0.028615572), (3, 0.028146252), (4, 0.527283), (5, 0.36035344)]"
4924,4924,1.0,0.520488,"[(0, 0.24124542), (1, 0.520488), (2, 0.02399291), (3, 0.16660409), (4, 0.023809562), (5, 0.023859989)]"
4925,4925,0.0,0.44277653,"[(0, 0.44277653), (1, 0.4277682), (2, 0.01282591), (3, 0.09098831), (4, 0.012820538), (5, 0.012820528)]"
4926,4926,0.0,0.63684314,"[(0, 0.63684314), (1, 0.12547621), (3, 0.03822246), (4, 0.18902506)]"
