date,X01-a,X01-b,X02-a,X02-b,Z01-a,Z01-b,Z02-a,Z02-b,Z03-a,Z03-b,Z04-a,Z04-b,Z05-a,Z05-b,Y01-a,Y01-b,Y02-a,Y02-b,Y03-a,Y03-b,T01-a,T01-b
2022-01-10,18.37606,23.07692,42.10526,31.57894,18.36734,2.307,27.28323,1.38728,30.51648,31.96783,11.35701,31.62492,6.72182,15.82213,15.54213,26.98871,15.22911,4.71698,25.97402,12.33766,6.38888,4.27083
2022-01-11,17.52136,27.35042,100,42.10526,13.66459,3.37178,17.22543,2.89017,28.05098,30.51077,9.55154,23.76237,5.65322,12.82316,14.38697,25.22971,8.35579,4.98652,26.19047,24.24242,6.84027,3.92361
2022-01-12,20.94017,30.02136,31.57894,36.8421,2.307,4.08163,5.0867,4.16184,27.42652,26.49222,12.63832,11.35701,7.48017,11.09962,9.81885,24.33709,6.06469,3.63881,12.55411,15.80086,6.45833,3.22916
2022-01-13,20.83333,32.37179,42.10526,0,2.66193,2.307,4.62427,1.7341,26.37816,26.00653,13.68666,10.54164,8.10065,8.44536,11.34155,42.16329,3.63881,2.96495,8.44155,10.82251,7.32638,3.92361
2022-01-14,21.9017,27.13675,0,26.31578,8.87311,2.12954,14.91329,2.54335,25.19294,27.34193,8.5032,13.68666,5.03274,12.40951,13.91441,30.19165,9.56873,3.77358,16.88311,7.7922,4.82638,3.75
2022-01-15,11.11111,12.82051,0,0,2.21827,0.79858,2.08092,0.57803,12.88636,11.07858,4.5428,7.68782,2.68872,7.34229,5.53951,25.17721,2.56064,0,2.38095,1.7316,1.63194,1.66666
2022-01-16,10.25641,12.17948,0,0,1.41969,0.70984,1.84971,0,12.18492,11.20214,3.37798,11.93942,1.99931,7.89382,4.90942,27.33,1.88679,1.07816,5.1948,3.24675,2.63888,1.52777
2022-01-17,17.6282,17.84188,47.36842,0,9.05057,2.04081,16.87861,2.77456,23.89556,28.68779,7.68782,19.27781,4.55015,22.88865,14.96455,30.32291,15.49865,8.49056,14.93506,16.23376,6.875,3.88888
2022-01-18,18.26923,21.26068,42.10526,0,16.32653,2.5732,23.69942,2.77456,23.72067,31.85853,7.10541,21.89866,4.20544,24.47431,16.82856,28.66894,13.07277,10.51212,20.56277,18.39826,8.4375,4.79166
2022-01-19,100,27.35042,31.57894,42.10526,19.78704,2.92812,27.97687,2.77456,24.26434,33.82313,7.74606,28.1887,4.58462,27.95587,21.76424,30.40168,21.56334,11.59029,27.70562,22.72727,9.47916,4.79166
2022-01-20,74.25213,32.47863,57.89473,100,7.18722,1.86335,9.47976,2.65895,23.21503,29.69148,8.21199,13.80314,4.86039,14.23647,17.45865,31.08427,10.91644,9.97304,23.59307,21.86147,15.13888,4.75694
2022-01-21,54.59401,31.08974,57.89473,26.31578,19.43212,2.48447,23.81502,3.12138,24.31186,32.10755,8.32847,19.62725,4.92933,23.02654,21.26542,29.8766,19.13746,8.35579,20.77922,16.01731,8.92361,5.34722
2022-01-22,23.39743,13.88888,0,0,11.44631,0.53238,10.52023,0,15.17127,15.32524,4.65928,19.10308,2.75766,18.71768,18.77133,26.51614,14.69002,5.5256,14.50216,5.41125,3.40277,2.01388
2022-01-23,20.1923,15.27777,0,26.31578,6.83229,1.33096,4.73988,1.04046,12.37406,11.18503,3.84391,17.82178,2.27507,17.54567,14.30821,25.93856,11.18598,5.12129,11.90476,5.41125,3.29861,2.01388
2022-01-24,47.97008,22.64957,26.31578,31.57894,43.83318,3.37178,46.58959,2.31213,27.01117,43.59578,9.31857,53.58182,5.51533,42.77835,48.3854,40.7456,50.80862,22.50673,72.72727,50.21645,9.13194,4.86111
2022-01-25,78.84615,28.95299,0,36.8421,89.79591,2.5732,100,2.77456,30.89666,64.95932,11.64822,78.10133,6.89417,61.46156,89.31478,49.35678,88.4097,47.16981,70.99567,91.77489,9.6875,6.80555
2022-01-26,40.81196,36.64529,42.10526,31.57894,31.85448,3.01685,27.97687,3.69942,25.86396,45.11652,8.67792,40.24461,5.13615,30.8859,48.28038,39.90548,44.20485,23.85444,40.90909,57.14285,16.97916,6.25
